freelancer_id,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate_usd,rating,is_active,client_satisfaction
FL250073,Nicholas Burton,M,40.0,United States,English,Web Development,9.0,100.0,4.5,True,69.0
FL250074,Jorge Riley,M,59.0,Australia,English,Blockchain Development,4.0,40.0,1.9,False,88.0
FL250075,Melvin Harris,M,36.0,Italy,Italian,Machine Learning,14.0,100.0,3.7,False,
FL250076,Jeremy Meyer,M,32.0,India,Hindi,Data Analysis,9.0,30.0,1.9,True,96.0
FL250077,Timothy Lee,M,59.0,Australia,English,AI,9.0,75.0,4.0,True,96.0
FL250078,Diana Bautista,F,54.0,Spain,Spanish,DevOps,32.0,40.0,1.8,False,
FL250079,Leslie Rodriguez,F,37.0,Canada,English,Graphic Design,9.0,30.0,0.0,True,89.0
FL250080,Noah Wiggins,M,54.0,India,Hindi,Machine Learning,21.0,100.0,4.6,False,
FL250081,Bridget Williams,F,33.0,Argentina,Spanish,UI/UX Design,12.0,100.0,3.6,False,63.0
FL250082,Veronica Baker,F,25.0,Egypt,Arabic,Web Development,7.0,40.0,4.4,,81.0
FL250083,Andrew Avila,M,41.0,China,Mandarin,DevOps,3.0,40.0,4.6,False,74.0
FL250084,Michael Roberson,M,35.0,South Korea,Korean,Web Development,5.0,75.0,3.2,False,72.0
FL250085,Austin Jenkins,M,59.0,South Korea,Korean,AI,30.0,40.0,0.0,True,
FL250086,Brenda Green,F,21.0,China,Mandarin,DevOps,2.0,100.0,2.6,True,85.0
FL250087,Samuel Pierce,M,25.0,United States,English,Mobile Apps,2.0,75.0,3.7,False,
FL250088,Briana Smith,F,38.0,Mexico,Spanish,Web Development,19.0,75.0,2.3,False,61.0
FL250089,Ronald Barrett,M,57.0,Russia,Russian,AI,16.0,100.0,3.1,False,
FL250090,Matthew Smith,M,32.0,India,Hindi,Mobile Apps,10.0,20.0,2.4,False,86.0
FL250091,Logan Huang,M,21.0,Italy,Italian,DevOps,2.0,100.0,1.6,True,97.0
FL250092,Miranda Hutchinson,F,57.0,Canada,English,Cybersecurity,18.0,50.0,2.4,True,63.0
FL250093,Paul Richardson,M,53.0,China,Mandarin,UI/UX Design,21.0,100.0,,True,97.0
FL250094,Jose Jones,M,35.0,Russia,Russian,Blockchain Development,3.0,30.0,3.8,True,81.0
FL250095,Denise Smith,F,54.0,China,Mandarin,Machine Learning,17.0,20.0,1.7,False,69.0
FL250096,Shelby Mcmahon,F,36.0,Italy,Italian,UI/UX Design,0.0,20.0,1.3,True,64.0
FL250097,Bethany Wright,F,49.0,Spain,Spanish,Cybersecurity,25.0,50.0,5.0,False,77.0
FL250098,David Ortiz,M,37.0,United States,English,Blockchain Development,17.0,20.0,3.3,False,96.0
FL250099,Andrew Lynch,M,41.0,United States,English,UI/UX Design,5.0,20.0,1.1,False,74.0
FL250100,Kristopher Meyers,M,32.0,Egypt,Arabic,UI/UX Design,10.0,50.0,1.2,False,89.0
FL250101,Thomas Roth,M,35.0,India,Hindi,Mobile Apps,0.0,50.0,2.0,True,64.0
FL250102,Vicki Brown,F,51.0,Russia,Russian,Graphic Design,2.0,30.0,4.5,False,64.0
FL250103,Stacy Sutton,F,50.0,Russia,Russian,DevOps,30.0,100.0,3.0,True,73.0
FL250104,Kimberly Holland,F,21.0,Turkey,Turkish,Blockchain Development,2.0,50.0,4.9,True,68.0
FL250105,Travis Richardson,M,25.0,United States,English,Graphic Design,3.0,30.0,,False,88.0
FL250106,Jasmin Ho,F,57.0,France,French,DevOps,21.0,40.0,2.5,False,77.0
FL250107,Mark Paul,M,58.0,Russia,Russian,Blockchain Development,3.0,40.0,0.0,True,
FL250108,Jennifer Lewis,F,45.0,Indonesia,Indonesian,Mobile Apps,19.0,40.0,,True,72.0
FL250109,Elizabeth Lester,F,23.0,United States,English,Web Development,0.0,20.0,4.7,True,60.0
FL250110,Kimberly Griffin,F,46.0,United States,English,AI,9.0,30.0,3.5,,72.0
FL250111,Tyler Warner,M,27.0,Argentina,Spanish,UI/UX Design,5.0,30.0,,False,92.0
FL250112,Jane Cox,F,32.0,United States,English,Machine Learning,6.0,50.0,3.4,True,
FL250113,Leah Williams,F,48.0,Argentina,Spanish,Machine Learning,6.0,75.0,2.5,,92.0
FL250114,Kevin Wong,M,30.0,Turkey,Turkish,Mobile Apps,3.0,30.0,1.1,True,
FL250115,Robert Andrews,M,59.0,Turkey,Turkish,AI,13.0,20.0,4.8,,
FL250116,Jessica Torres,F,32.0,Mexico,Spanish,AI,5.0,30.0,,False,86.0
FL250117,Teresa Kim,F,57.0,Egypt,Arabic,UI/UX Design,4.0,40.0,3.4,True,68.0
FL250118,Jon Morgan,M,27.0,Australia,English,Machine Learning,7.0,20.0,3.2,True,62.0
FL250119,Gloria Chaney,F,33.0,Indonesia,Indonesian,Machine Learning,13.0,20.0,3.2,False,
FL250120,Jesse Campbell,M,29.0,South Korea,Korean,Data Analysis,4.0,30.0,0.0,True,82.0
FL250121,Allison Tucker MD,F,36.0,Indonesia,Indonesian,UI/UX Design,13.0,75.0,,True,
FL250122,Candice Petersen,F,47.0,Italy,Italian,DevOps,5.0,40.0,3.7,False,93.0
FL250123,Christopher Nichols,M,48.0,Canada,English,Machine Learning,15.0,50.0,1.0,True,64.0
FL250124,Debra Garcia,F,27.0,China,Mandarin,UI/UX Design,8.0,50.0,0.0,,
FL250125,Andrew Fuentes,M,34.0,Australia,English,Web Development,10.0,50.0,1.7,False,96.0
FL250126,Jason Carter,M,49.0,South Korea,Korean,Data Analysis,19.0,40.0,5.0,True,83.0
FL250127,Austin Romero,M,30.0,Brazil,Portuguese,Mobile Apps,10.0,100.0,1.7,True,64.0
FL250128,Clayton Burns,M,31.0,Egypt,Arabic,Graphic Design,8.0,40.0,4.4,False,70.0
FL250129,Jonathan Clark,M,58.0,China,Mandarin,Machine Learning,9.0,20.0,0.0,False,65.0
FL250130,Alexander Griffin,M,47.0,France,French,Machine Learning,13.0,40.0,3.4,,67.0
FL250131,Shelly Whitehead,F,45.0,United Kingdom,English,Cybersecurity,14.0,100.0,1.1,False,93.0
FL250132,Kaitlyn Davis,F,57.0,France,French,Machine Learning,0.0,50.0,1.6,False,60.0
FL250133,Christopher Jones,M,50.0,India,Hindi,Web Development,22.0,100.0,4.1,False,62.0
FL250134,Cindy Jacobs,F,41.0,Brazil,Portuguese,Machine Learning,4.0,30.0,2.5,,70.0
FL250135,Penny Day,F,45.0,Indonesia,Indonesian,Blockchain Development,22.0,100.0,4.0,True,75.0
FL250136,Thomas Ingram,M,60.0,South Africa,Afrikaans,Cybersecurity,39.0,75.0,1.4,False,70.0
FL250137,Donna Hansen,F,43.0,United Kingdom,English,Cybersecurity,5.0,50.0,,True,84.0
FL250138,Donna Bailey,F,39.0,France,French,Cybersecurity,5.0,40.0,1.2,False,83.0
FL250139,Joshua Armstrong,M,26.0,Mexico,Spanish,UI/UX Design,5.0,50.0,0.0,False,
FL250140,Jonathan Garza,M,31.0,Germany,German,Cybersecurity,11.0,50.0,3.1,False,88.0
FL250141,Charles Jones,M,52.0,France,French,UI/UX Design,15.0,50.0,0.0,True,81.0
FL250142,Lindsey Miles,F,34.0,India,Hindi,Data Analysis,5.0,20.0,2.2,True,80.0
FL250143,Eduardo Reed,M,45.0,United Kingdom,English,Web Development,7.0,75.0,3.0,True,67.0
FL250144,Lee Fowler,M,46.0,United Kingdom,English,Cybersecurity,9.0,20.0,0.0,False,82.0
FL250145,Steven Jones Jr.,M,56.0,France,French,UI/UX Design,21.0,100.0,0.0,True,78.0
FL250146,Ashley Chen,F,59.0,Germany,German,AI,7.0,40.0,1.4,False,81.0
FL250147,Erica Davis,F,54.0,Egypt,Arabic,Blockchain Development,4.0,40.0,1.4,True,74.0
FL250148,Wayne Gonzales,M,36.0,Germany,German,UI/UX Design,7.0,30.0,0.0,False,88.0
FL250149,Gary Ballard,M,25.0,Mexico,Spanish,Data Analysis,0.0,40.0,0.0,False,90.0
FL250150,Maria Mcguire,F,37.0,Russia,Russian,Data Analysis,15.0,40.0,2.9,False,
FL250151,Matthew Richards,M,41.0,Turkey,Turkish,Data Analysis,10.0,40.0,0.0,,
FL250152,Patrick Malone,M,29.0,Spain,Spanish,Data Analysis,11.0,20.0,2.7,False,93.0
FL250153,Cindy Martin,F,55.0,Argentina,Spanish,Mobile Apps,12.0,100.0,1.8,True,
FL250154,Anne Edwards,F,38.0,Japan,Japanese,DevOps,20.0,75.0,1.1,False,71.0
FL250155,Mitchell Martin,M,47.0,South Korea,Korean,DevOps,29.0,40.0,4.3,True,95.0
FL250156,Mitchell Patrick,M,60.0,Brazil,Portuguese,Web Development,15.0,100.0,1.5,False,80.0
FL250157,Rebecca Lyons,F,43.0,Italy,Italian,Data Analysis,9.0,20.0,2.2,False,
FL250158,Christian Lopez,M,56.0,South Africa,Afrikaans,Data Analysis,9.0,100.0,3.2,False,62.0
FL250159,Nathan Blair,M,42.0,Russia,Russian,DevOps,2.0,50.0,1.9,False,95.0
FL250160,Patricia Lopez,F,20.0,Spain,Spanish,Graphic Design,0.0,40.0,2.5,False,79.0
FL250161,Michelle Wu,F,47.0,Indonesia,Indonesian,UI/UX Design,12.0,40.0,4.5,False,62.0
FL250162,Donald Mitchell,M,41.0,Argentina,Spanish,Data Analysis,12.0,30.0,4.1,False,68.0
FL250163,Sean Gordon,M,56.0,Indonesia,Indonesian,DevOps,15.0,75.0,0.0,False,
FL250164,Gregory Clarke,M,59.0,United Kingdom,English,DevOps,29.0,75.0,,False,80.0
FL250165,Steven Whitney,M,56.0,Japan,Japanese,Cybersecurity,15.0,40.0,3.7,,92.0
FL250166,Robin Acosta,F,31.0,South Africa,Afrikaans,Web Development,9.0,75.0,1.3,True,65.0
FL250167,John Smith,M,60.0,South Korea,Korean,Mobile Apps,33.0,40.0,3.6,True,87.0
FL250168,Susan Baker,F,31.0,Canada,English,Web Development,10.0,75.0,0.0,False,70.0
FL250169,Anthony Larsen,M,60.0,Argentina,Spanish,Cybersecurity,20.0,40.0,1.4,False,87.0
FL250170,Nicholas Carpenter,M,46.0,France,French,DevOps,23.0,20.0,2.9,False,72.0
FL250171,Debra Salazar,F,41.0,Netherlands,Dutch,Blockchain Development,9.0,40.0,2.8,False,80.0
FL250172,William Smith,M,34.0,Japan,Japanese,UI/UX Design,0.0,20.0,1.7,False,66.0
FL250173,Caroline Gross,F,42.0,Netherlands,Dutch,Graphic Design,7.0,40.0,0.0,True,
FL250174,Jeremy Sawyer,M,31.0,United Kingdom,English,Data Analysis,4.0,75.0,1.1,True,64.0
FL250175,Eduardo Burns,M,29.0,Brazil,Portuguese,UI/UX Design,9.0,20.0,,,68.0
FL250176,Amanda Jones,F,57.0,Australia,English,Graphic Design,17.0,20.0,3.6,False,63.0
FL250177,Frederick Ware,M,47.0,India,Hindi,DevOps,8.0,20.0,4.5,True,72.0
FL250178,Michael Black,M,47.0,South Africa,Afrikaans,AI,14.0,30.0,0.0,True,86.0
FL250179,Patricia Sanders,F,45.0,France,French,Graphic Design,21.0,30.0,1.5,True,73.0
FL250180,Marc Joseph,M,24.0,Turkey,Turkish,Machine Learning,1.0,30.0,3.7,False,95.0
FL250181,Vanessa White,F,31.0,Argentina,Spanish,Mobile Apps,12.0,20.0,2.3,False,90.0
FL250182,Jennifer Garcia,F,20.0,Mexico,Spanish,Graphic Design,2.0,20.0,2.8,False,78.0
FL250183,Michael Zavala,M,38.0,Japan,Japanese,Web Development,3.0,30.0,3.5,False,97.0
FL250184,Kimberly Williams,F,33.0,Germany,German,UI/UX Design,11.0,50.0,0.0,True,65.0
FL250185,Elizabeth Jenkins,F,31.0,Australia,English,Web Development,4.0,40.0,3.2,True,78.0
FL250186,Brandon Ford,M,41.0,Spain,Spanish,Machine Learning,21.0,50.0,3.3,True,65.0
FL250187,Justin House,M,54.0,Turkey,Turkish,Web Development,0.0,20.0,4.9,,
FL250188,Henry Mullen,M,50.0,Mexico,Spanish,Data Analysis,6.0,30.0,2.2,True,95.0
FL250189,Jesse Cochran,M,48.0,Brazil,Portuguese,Machine Learning,18.0,40.0,,True,88.0
FL250190,Melissa Rich,F,49.0,Mexico,Spanish,Graphic Design,9.0,30.0,1.8,False,
FL250191,Patrick Dunlap,M,21.0,South Korea,Korean,Graphic Design,1.0,75.0,4.6,False,92.0
FL250192,Troy Carson,M,58.0,Australia,English,Graphic Design,20.0,75.0,2.8,False,75.0
FL250193,Matthew Smith,M,41.0,Italy,Italian,DevOps,9.0,30.0,1.4,False,74.0
FL250194,Jennifer Cherry,F,58.0,Russia,Russian,Blockchain Development,25.0,30.0,4.2,True,71.0
FL250195,Brandi Tucker,F,50.0,South Africa,Afrikaans,Graphic Design,20.0,40.0,3.6,True,89.0
FL250196,Zachary Burke,M,52.0,Indonesia,Indonesian,Web Development,33.0,100.0,1.6,,66.0
FL250197,Thomas Jones,M,34.0,Netherlands,Dutch,Data Analysis,6.0,100.0,2.0,False,
FL250198,Brian Dunn,M,32.0,France,French,Machine Learning,11.0,40.0,4.3,True,86.0
FL250199,Shirley Strickland,F,50.0,India,Hindi,Graphic Design,28.0,100.0,4.9,True,86.0
FL250200,Nicole Meyers,F,39.0,Argentina,Spanish,Data Analysis,11.0,100.0,3.5,True,82.0
FL250201,Jill Stephens,F,25.0,Spain,Spanish,AI,2.0,100.0,2.5,False,87.0
FL250202,Heidi Miranda,F,55.0,China,Mandarin,Machine Learning,7.0,100.0,1.7,True,80.0
FL250203,Jesus Martinez,M,42.0,Italy,Italian,DevOps,10.0,100.0,4.6,True,71.0
FL250204,Adam Payne,M,43.0,Russia,Russian,Mobile Apps,6.0,50.0,,False,77.0
FL250205,Walter Williams,M,54.0,Italy,Italian,DevOps,29.0,30.0,1.7,False,68.0
FL250206,Shannon Farmer,F,21.0,Egypt,Arabic,Graphic Design,0.0,20.0,1.8,False,91.0
FL250207,Peter Reyes,M,46.0,Canada,English,UI/UX Design,5.0,20.0,2.2,False,75.0
FL250208,Kristen Knight,F,30.0,Spain,Spanish,Blockchain Development,11.0,40.0,1.0,False,90.0
FL250209,William Moore Jr.,M,36.0,China,Mandarin,Machine Learning,11.0,75.0,3.2,False,93.0
FL250210,Jennifer Rowe,F,47.0,Germany,German,Data Analysis,15.0,40.0,2.1,True,94.0
FL250211,Mikayla Henry,F,43.0,Canada,English,Mobile Apps,1.0,50.0,4.6,True,64.0
FL250212,Jacob Kerr,M,57.0,South Korea,Korean,Cybersecurity,8.0,20.0,0.0,True,84.0
FL250213,Ryan Johnson,M,52.0,Italy,Italian,Machine Learning,30.0,20.0,2.8,False,87.0
FL250214,Michael Ruiz,M,41.0,Germany,German,Blockchain Development,8.0,40.0,0.0,False,64.0
FL250215,Monica Roberts,F,22.0,Indonesia,Indonesian,Machine Learning,0.0,100.0,2.7,True,64.0
FL250216,Danny Brown,M,41.0,India,Hindi,Machine Learning,12.0,20.0,0.0,True,80.0
FL250217,Karen Larsen,F,58.0,Spain,Spanish,Mobile Apps,4.0,50.0,3.1,False,90.0
FL250218,Robert Evans,M,39.0,South Korea,Korean,Web Development,14.0,100.0,0.0,True,92.0
FL250219,Sean Poole,M,32.0,Indonesia,Indonesian,Graphic Design,14.0,40.0,,False,96.0
FL250220,Richard Quinn,M,37.0,Canada,English,UI/UX Design,2.0,30.0,2.3,True,
FL250221,Jennifer Gonzalez,F,21.0,China,Mandarin,Cybersecurity,2.0,100.0,2.4,True,
FL250222,James Skinner,M,41.0,South Korea,Korean,Machine Learning,4.0,75.0,2.6,,85.0
FL250223,Michelle Hill,F,21.0,Canada,English,AI,0.0,40.0,1.1,False,79.0
FL250224,Jacqueline Williams,F,58.0,China,Mandarin,Machine Learning,9.0,30.0,0.0,True,65.0
FL250225,Darrell Johnson,M,60.0,Canada,English,Machine Learning,3.0,40.0,4.7,False,63.0
FL250226,Ryan Crawford,M,27.0,South Africa,Afrikaans,Web Development,2.0,40.0,1.2,False,
FL250227,Chelsea Barber,F,29.0,Germany,German,Machine Learning,10.0,40.0,1.2,False,78.0
FL250228,Elaine Martinez,F,54.0,Canada,English,Graphic Design,33.0,75.0,0.0,True,62.0
FL250229,Joseph Kent,M,52.0,Mexico,Spanish,Machine Learning,12.0,40.0,1.2,False,76.0
FL250230,Megan Welch,F,55.0,Indonesia,Indonesian,Blockchain Development,18.0,100.0,2.9,False,97.0
FL250231,Stephen Ramirez,M,37.0,Brazil,Portuguese,Blockchain Development,4.0,40.0,,False,
FL250232,Chloe Gray,F,34.0,Egypt,Arabic,Data Analysis,11.0,50.0,3.9,True,82.0
FL250233,Michael Williams Jr.,M,20.0,France,French,Data Analysis,1.0,50.0,3.1,,71.0
FL250234,Matthew Martin,M,22.0,Mexico,Spanish,UI/UX Design,2.0,40.0,0.0,True,
FL250235,Julia Murphy,F,23.0,South Korea,Korean,Graphic Design,2.0,50.0,3.2,True,
FL250236,Anna Evans,F,53.0,South Korea,Korean,Blockchain Development,34.0,30.0,,True,
FL250237,Brenda Fleming,F,56.0,South Korea,Korean,Graphic Design,27.0,100.0,4.7,True,69.0
FL250238,Daniel Harrington,M,27.0,Canada,English,AI,4.0,75.0,5.0,False,88.0
FL250239,Daniel Barnett,M,34.0,Italy,Italian,Mobile Apps,11.0,40.0,,False,67.0
FL250240,Mark Cummings,M,29.0,United States,English,Web Development,4.0,50.0,4.0,False,
FL250241,Christopher Guerra,M,34.0,India,Hindi,AI,11.0,40.0,1.2,True,
FL250242,Sarah Ho,F,32.0,Mexico,Spanish,AI,1.0,100.0,4.7,False,67.0
FL250243,Veronica Thomas,F,21.0,South Africa,Afrikaans,Machine Learning,2.0,20.0,2.4,,86.0
FL250244,Mitchell Watson,M,20.0,Mexico,Spanish,Graphic Design,2.0,45.0,1.1,False,69.0
FL250245,Monica Murphy,F,35.0,United States,English,Mobile Apps,10.0,50.0,1.4,True,85.0
FL250246,Kristen Williams,F,47.0,United States,English,UI/UX Design,18.0,40.0,3.4,False,60.0
FL250247,Nicole Wright,F,41.0,Turkey,Turkish,Blockchain Development,4.0,40.0,2.7,True,70.0
FL250248,Andrew Ruiz,M,58.0,Argentina,Spanish,Web Development,23.0,50.0,4.9,False,
FL250249,Zachary Jackson,M,34.0,China,Mandarin,Data Analysis,6.0,75.0,1.9,True,81.0
FL250250,Stephanie Carter,F,50.0,India,Hindi,Mobile Apps,5.0,100.0,,True,
FL250251,Amy Olson,F,42.0,Mexico,Spanish,DevOps,19.0,75.0,4.6,False,78.0
FL250252,Fred Stark,M,43.0,Germany,German,UI/UX Design,6.0,50.0,0.0,False,81.0
FL250253,Jacob Gill,M,34.0,Germany,German,Data Analysis,8.0,75.0,1.8,True,71.0
FL250254,Anthony Nichols,M,24.0,Spain,Spanish,Mobile Apps,3.0,75.0,2.0,False,
FL250255,William Knapp,M,48.0,South Africa,Afrikaans,UI/UX Design,8.0,30.0,5.0,True,99.0
FL250256,Elizabeth Walker,F,39.0,South Korea,Korean,Data Analysis,12.0,20.0,3.2,True,66.0
FL250257,Brenda Reeves,F,57.0,Australia,English,Blockchain Development,30.0,30.0,2.4,,80.0
FL250258,Carrie Little,F,44.0,Canada,English,Web Development,21.0,100.0,2.9,False,83.0
FL250259,Steven Jackson,M,37.0,Brazil,Portuguese,UI/UX Design,17.0,20.0,0.0,True,87.0
FL250260,Mark Perry,M,50.0,Turkey,Turkish,Data Analysis,9.0,30.0,3.0,False,76.0
FL250261,Cameron Spencer,M,50.0,Spain,Spanish,UI/UX Design,2.0,50.0,1.6,False,89.0
FL250262,Jennifer Holmes,F,28.0,France,French,Graphic Design,1.0,20.0,3.6,True,94.0
FL250263,Jacob Joseph,M,48.0,Italy,Italian,Web Development,23.0,50.0,2.1,False,68.0
FL250264,Jeffery Tucker,M,42.0,Germany,German,DevOps,8.0,30.0,3.6,True,96.0
FL250265,Jacqueline Drake,F,37.0,Canada,English,Data Analysis,6.0,20.0,2.7,True,91.0
FL250266,Brian Bautista,M,21.0,India,Hindi,Blockchain Development,1.0,100.0,2.1,True,92.0
FL250267,Dakota Wells,M,50.0,South Korea,Korean,Web Development,19.0,40.0,4.9,,82.0
FL250268,Julie White,F,22.0,Argentina,Spanish,AI,2.0,30.0,2.1,,
FL250269,Barbara Keith,F,39.0,Japan,Japanese,Web Development,21.0,100.0,0.0,False,91.0
